Province,Entity,Year,Total,Energy,Variable,Fixed,Demand
Alberta,Enmax,2014," 4,615 "," 2,584 ", 848 , 670 , 514 
Alberta,,2019," 5,924 "," 2,817 "," 1,845 ", 743 , 520 
Alberta,Epcor,2014," 5,234 "," 2,584 ", 966 , 768 , 916 
Alberta,,2019," 6,719 "," 2,817 "," 1,291 "," 1,010 "," 1,601 "
Alberta,ATCO,2014," 3,899 "," 2,584 ", 93 , 15 ," 1,207 "
Alberta,,2019," 4,850 "," 2,817 ", 607 , 17 ," 1,409 "
Alberta,Fortis Alberta,2014," 3,527 "," 2,584 ",-16 , -   , 959 
Alberta,,2019," 4,785 "," 2,817 ", 562 , -   ," 1,407 "
Ontario,Toronto Hydro,2014," 7,122 "," 5,687 ", 280 , 38 ," 1,117 "
Ontario,,2019," 8,015 "," 6,296 ", 229 , 58 ," 1,433 "
Ontario,Hydro Ottawa,2014," 6,920 "," 5,687 ", 280 , 258 , 695 
Ontario,,2019," 7,638 "," 6,296 ", 235 , 200 , 907 
Ontario,"Hydro One 
(Urban Density)",2014," 7,237 "," 5,687 "," 1,535 ", 15 , -   
Ontario,,2019," 8,252 "," 6,296 "," 1,930 ", 26 , -   
Ontario,"Hydro One 
(Non-Urban Density)",2014," 8,491 "," 5,687 "," 2,764 ", 41 , -   
Ontario,,2019," 9,835 "," 6,296 "," 3,505 ", 34 , -   
