Province,Component,2014,2015,2016,2017,2018
Ontario,IESO Admin Fees,161,186,186,184,194
Ontario,Transmission Revenue**,"1,588","1,536","1,584","1,578","1,686"
Ontario,Distribution Revenue,"3,423","3,555","3,433","3,297","3,747"
Ontario,Estimated Ontario HOEP Revenue* ,"5,028","3,231","2,277","2,089","3,335"
Ontario,Total Global Adjustment,"7,035","9,963","12,333","11,851","11,196"
Ontario,Total System Costs,"17,235","18,471","19,813","18,999","20,159"
Alberta,Transmission Tariff Revenue," 1,292 "," 1,450 "," 1,633 "," 1,663 "," 1,686 "
Alberta,AESO Total Non-Wires Costs, 480 , 391 , 283 , 311 , 537 
Alberta,AESO Wires Costs," 1,400 "," 1,519 "," 1,498 "," 1,685 "," 1,725 "
Alberta,Distribution Tariff Revenue," 1,807 "," 1,754 "," 1,849 "," 1,959 "," 2,045 "
Alberta,Energy Market Revenue," 3,228 "," 2,133 "," 1,154 "," 1,425 "," 3,292 "
Alberta,Balancing Pool Payments,-325,-324,-190,66,189
Alberta,Total System Costs," 6,590 "," 5,472 "," 4,593 "," 5,445 "," 7,788 "
