Province,Entity,Residential,Commercial (Small),Commercial (Large),Industrial (Distribution connected),Industrial (Transmission connected)
"British 
Columbia",All areas, 11.61 , 12.75 , 10.90 , 8.45 , 7.03 
Alberta,Enmax, 15.41 , 17.70 , 11.85 , 10.51 , 9.32 
Alberta,Epcor, 14.53 , 14.95 , 13.44 , 10.40 , 9.29 
Alberta,ATCO, 25.24 , 13.58 , 9.70 , 11.21 , 9.29 
Alberta,Fortis Alberta, 15.45 , 15.24 , 9.57 , 9.53 , 9.04 
Saskatchewan,Urban, 16.82 , 14.59 , 11.44 , 11.44 ,
Saskatchewan,Rural, 17.83 , 15.53 , 11.07 , 11.04 ,
Saskatchewan,All areas,,,,, 8.80 
Manitoba,All areas, 9.37 , 9.32 , 6.87 , 6.49 , 4.94 
Ontario,Toronto Hydro, 10.39 , 9.89 , 16.03 , 14.25 ,
Ontario,Hydro Ottawa, 8.43 , 8.17 , 15.28 , 13.49 ,
Ontario,"Hydro One 
(Urban Density)", 8.86 , 8.18 , 16.50 , 13.79 ,
Ontario,"Hydro One 
(Medium Density)", 11.36 ,,,,
Ontario,"Hydro One 
(Low Density)", 18.20 ,,,,
Ontario,"Hydro One 
(Non-Urban Density)",, 11.49 , 19.67 , 15.12 ,
Ontario,Hydro One,,,,, 12.67 
Quebec,All areas, 7.30 , 10.15 , 7.95 , 7.19 , 5.86 
New Brunswick,Urban, 13.10 ,,,,
New Brunswick,Rural, 13.31 ,,,,
New Brunswick,All areas,, 13.58 , 11.41 , 8.09 , 7.72 
"Newfoundland 
& Labrador",Newfoundland, 12.99 , 13.93 , 9.99 , 6.01 , 5.81 
"Newfoundland 
& Labrador",Labrador, 3.96 , 3.33 , 2.53 , 2.69 , 2.56 
"Nova 
Scotia","Nova Scotia 
Power", 16.69 , 13.06 , 10.85 , 10.82 , 18.20 
